Id,SigBg,jets.pt
2,Signal,-0.7388661120304821
3,Signal,-0.7388661120304821
4,Signal,-0.7388661120304821
5,Signal,-0.7388661120304821
8,Signal,-0.9124287062115265
9,Signal,-0.9124287062115265
12,Signal,0.6749865535020905
13,Signal,0.6749865535020905
14,Signal,0.6749865535020905
15,Signal,0.6749865535020905
16,Signal,0.6749865535020905
17,Signal,0.6749865535020905
18,Signal,0.6749865535020905
21,Signal,-0.5307681067487603
22,Signal,-0.5307681067487603
23,Signal,-0.5307681067487603
24,Signal,-0.5307681067487603
25,Signal,-0.5307681067487603
28,Signal,-0.8789597942892791
29,Signal,-0.8789597942892791
30,Signal,-0.8789597942892791
31,Signal,-0.8789597942892791
34,Signal,-0.841191733952394
37,Signal,1.788556607542453
38,Signal,1.788556607542453
39,Signal,1.788556607542453
40,Signal,1.788556607542453
41,Signal,1.788556607542453
44,Signal,-0.9495825342231269
49,Signal,-0.9269130726054778
52,Background,-0.7388661120304821
53,Background,-0.7388661120304821
54,Background,-0.7388661120304821
55,Background,-0.7388661120304821
58,Background,-0.9124287062115265
59,Background,-0.9124287062115265
62,Background,0.6749865535020905
63,Background,0.6749865535020905
64,Background,0.6749865535020905
65,Background,0.6749865535020905
66,Background,0.6749865535020905
67,Background,0.6749865535020905
68,Background,0.6749865535020905
71,Background,-0.5307681067487603
72,Background,-0.5307681067487603
73,Background,-0.5307681067487603
74,Background,-0.5307681067487603
75,Background,-0.5307681067487603
78,Background,-0.8789597942892791
79,Background,-0.8789597942892791
80,Background,-0.8789597942892791
81,Background,-0.8789597942892791
84,Background,-0.841191733952394
87,Background,1.788556607542453
88,Background,1.788556607542453
89,Background,1.788556607542453
90,Background,1.788556607542453
91,Background,1.788556607542453
94,Background,-0.9495825342231269
99,Background,-0.9269130726054778
