Src,Dst,Weight
0,1,2.670314609504857
1,0,2.670314609504857
2,3,3.1036262637420795
3,2,3.1036262637420795
4,5,1.714060739539596
5,4,1.714060739539596
6,7,2.609461371742809
7,6,2.609461371742809
8,9,3.012544766318761
9,8,3.012544766318761
10,11,3.202850625511928
11,10,3.202850625511928
12,13,1.1259692887667532
13,12,1.1259692887667532
14,15,2.9042937083002025
15,14,2.9042937083002025
16,17,3.1259836447415936
17,16,3.1259836447415936
18,19,3.1999023950782233
19,18,3.1999023950782233
20,21,2.818749105772762
21,20,2.818749105772762
22,23,2.9704569652279007
23,22,2.9704569652279007
24,25,3.467543863063437
25,24,3.467543863063437
26,27,3.076847664999199
27,26,3.076847664999199
28,29,3.153347140234617
29,28,3.153347140234617
30,31,3.229760223912302
31,30,3.229760223912302
32,33,2.890734000347302
33,32,2.890734000347302
34,35,2.0389294637539424
35,34,2.0389294637539424
36,37,3.067129756841293
37,36,3.067129756841293
38,39,3.138333632766626
39,38,3.138333632766626
